,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
1434,ILMN_2387636,0.0363,0.0011,3.4469494,-1.029927,0.396,,
1615,37462_i_at,0.037,0.0011,-3.6843364999999997,-0.9391314000000001,-0.5913472,SF3A2,splicing factor 3a subunit 2
1616,225124_at,0.0371,0.0011,-3.6838186,-0.94036847,-1.45961162,PPP1R9B,protein phosphatase 1 regulatory subunit 9B
1617,209390_at,0.0371,0.0011,3.6833934,-0.94138407,0.56547544,TSC1,tuberous sclerosis 1
1618,238370_x_at,0.0371,0.0011,3.6833449000000003,-0.94149975,2.28575745,,
1620,212017_at,0.0371,0.0011,3.6826369,-0.94319069,0.65759129,FAM168B,family with sequence similarity 168 member B
1624,216198_at,0.0372,0.0011,3.6809717000000006,-0.94716746,1.81733742,,
1623,214201_x_at,0.0371,0.0011,-3.6813428999999998,-0.94628088,-0.70365434,PRRC2A,proline rich coiled-coil 2A
1622,228478_at,0.0371,0.0011,-3.6817687999999995,-0.94526398,-0.44945769,SPPL2A,signal peptide peptidase like 2A
1621,203442_x_at,0.0371,0.0011,-3.6821345,-0.94439043,-0.47384145,EML3,echinoderm microtubule associated protein like 3
1627,1559289_at,0.0374,0.0011099999999999999,3.6775765,-0.9552736999999999,1.64207594,TADA1,transcriptional adaptor 1
1437,ILMN_3251317,0.0366,0.0011099999999999999,3.4429799,-1.04091,0.375,RER1,retention in endoplasmic reticulum sorting receptor 1
1626,215930_s_at,0.0372,0.0011099999999999999,-3.6798480000000002,-0.94985048,-0.53243827,CTAGE5,"CTAGE family member 5, ER export factor"
1625,218636_s_at,0.0372,0.0011099999999999999,3.6806748,-0.94787636,0.52049772,MAN1B1,mannosidase alpha class 1B member 1
1435,ILMN_2387599,0.0365,0.0011099999999999999,-3.4447699999999997,-1.035958,-0.27,C20orf24,chromosome 20 open reading frame 24
1436,ILMN_1708861,0.0365,0.0011099999999999999,-3.4440684999999998,-1.037899,-0.259,LRRC3B,leucine rich repeat containing 3B
1628,235894_at,0.0374,0.0011099999999999999,3.6773902,-0.95571867,0.83135677,,
1438,ILMN_1793017,0.0366,0.0011099999999999999,3.4428138999999995,-1.041369,0.335,DGKQ,diacylglycerol kinase theta
133,211518_s_at,0.1842737,0.0011099999999999999,3.4053856,-0.88881,0.36897864,BMP4,bone morphogenetic protein 4
1442,ILMN_1776577,0.0368,0.00112,-3.4400701000000002,-1.048956,-0.282,DSCC1,DNA replication and sister chromatid cohesion 1
1441,ILMN_2220283,0.0368,0.00112,3.4401476000000004,-1.048741,0.728,HNRNPA1P10,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
1440,ILMN_1712705,0.0368,0.00112,3.4401691,-1.048682,0.281,RAB40C,"RAB40C, member RAS oncogene family"
1439,ILMN_1664921,0.0368,0.00112,3.440238,-1.048491,0.22899999999999998,PPP6C,protein phosphatase 6 catalytic subunit
1629,1569091_at,0.0377,0.00112,3.6739968999999997,-0.96381837,0.71284251,,
1636,228041_at,0.0378,0.0011300000000000001,3.6712108999999997,-0.97046706,0.61960189,AASDH,aminoadipate-semialdehyde dehydrogenase
134,215635_at,0.18626900000000002,0.0011300000000000001,3.3978314,-0.90891,1.02245612,,
1443,ILMN_1769895,0.037,0.0011300000000000001,-3.4387185,-1.052691,-0.484,CCR2,C-C motif chemokine receptor 2
1635,226757_at,0.0378,0.0011300000000000001,-3.6715934999999997,-0.9695541,-1.65305626,IFIT2,interferon induced protein with tetratricopeptide repeats 2
1634,233181_at,0.0378,0.0011300000000000001,3.6718547,-0.96893076,1.67452793,,
1633,204349_at,0.0378,0.0011300000000000001,-3.6722767999999997,-0.96792348,-0.45308426,MED7,mediator complex subunit 7
1632,204425_at,0.0377,0.0011300000000000001,-3.6729230999999998,-0.96638107,-0.53162824,ARHGAP4,Rho GTPase activating protein 4
1631,1569519_at,0.0377,0.0011300000000000001,3.6731787000000002,-0.96577109,0.9498348,LOC102724250///NBPF26///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF1///NBPF14,neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
1630,202055_at,0.0377,0.0011300000000000001,3.6734042000000002,-0.96523284,0.38105911,KPNA1,karyopherin subunit alpha 1
1444,ILMN_1662334,0.0371,0.0011300000000000001,3.4376699,-1.0555889999999999,0.37799999999999995,DNAJA3,DnaJ heat shock protein family (Hsp40) member A3
1644,201831_s_at,0.038,0.00114,3.6673847,-0.97959568,0.58547793,USO1,USO1 vesicle transport factor
1643,201060_x_at,0.038,0.00114,-3.6674492999999995,-0.97944159,-0.68327981,STOM,stomatin
1642,200955_at,0.038,0.00114,3.6678512000000003,-0.97848291,0.45099547,IMMT,inner membrane mitochondrial protein
1641,204548_at,0.038,0.00114,3.6681662000000004,-0.97773128,1.87127358,STAR,steroidogenic acute regulatory protein
135,203596_s_at,0.18626900000000002,0.00114,-3.3972001000000005,-0.91059,-0.66271872,IFIT5,interferon induced protein with tetratricopeptide repeats 5
1639,238004_at,0.0379,0.00114,3.6691061,-0.97548909,0.76858609,PGBD2,piggyBac transposable element derived 2
1638,1563719_a_at,0.0379,0.00114,3.6696498999999996,-0.97419156,1.31928257,,
1637,237078_at,0.0379,0.00114,3.6700607000000005,-0.97321135,1.26865305,,
1640,201437_s_at,0.038,0.00114,-3.6685358,-0.97684972,-0.43296890000000005,EIF4E,eukaryotic translation initiation factor 4E
1646,215757_at,0.038,0.00114,3.6669523999999996,-0.98062693,1.11244188,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide"
1645,226183_at,0.038,0.00114,3.6670694999999998,-0.98034753,0.57326531,GSK3B,glycogen synthase kinase 3 beta
1445,ILMN_1815319,0.0372,0.00114,3.4355322999999998,-1.0614940000000002,0.255,CMTM4,CKLF like MARVEL transmembrane domain containing 4
1446,ILMN_2151818,0.0372,0.00114,-3.4355151,-1.061541,-0.35600000000000004,PSMA6,proteasome subunit alpha 6
1447,ILMN_1751958,0.0373,0.00114,3.4344477999999996,-1.064489,0.38799999999999996,NSUN5,NOP2/Sun RNA methyltransferase family member 5
1648,235416_at,0.0382,0.00115,3.6639657999999997,-0.98775039,0.83526336,LOC643201,centrosomal protein 192kDa pseudogene
1448,ILMN_1654542,0.0374,0.00115,3.4334638999999996,-1.0672059999999999,0.266,FAM172A,family with sequence similarity 172 member A
1449,ILMN_1787749,0.0374,0.00115,3.4332595,-1.06777,0.469,CASP8,caspase 8
1450,ILMN_1785660,0.0376,0.00115,3.4312537000000005,-1.073307,0.244,SRPRA,SRP receptor alpha subunit
1649,1567304_at,0.0382,0.00115,3.6638377,-0.98805585,2.36690986,,
1451,ILMN_1680129,0.0376,0.00115,3.4311230000000004,-1.073667,0.33899999999999997,NSUN2,NOP2/Sun RNA methyltransferase family member 2
1651,234753_x_at,0.0382,0.00115,3.6634469,-0.98898792,1.45355258,,
1647,226914_at,0.0382,0.00115,-3.66489,-0.98554634,-0.86356724,ARPC5L,actin related protein 2/3 complex subunit 5 like
1650,204049_s_at,0.0382,0.00115,-3.6636202000000004,-0.98857456,-0.77439638,PHACTR2,phosphatase and actin regulator 2
1458,ILMN_1712026,0.0378,0.00116,-3.4282272000000003,-1.0816569999999999,-0.342,NLRP3,NLR family pyrin domain containing 3
1457,ILMN_3283772,0.0377,0.00116,-3.4291931000000004,-1.078992,-0.267,,
1456,ILMN_1795139,0.0377,0.00116,-3.4295407,-1.078033,-0.293,S100Z,S100 calcium binding protein Z
1454,ILMN_1706217,0.0376,0.00116,-3.430325,-1.075869,-0.5579999999999999,TLR4,toll like receptor 4
1652,218242_s_at,0.0382,0.00116,3.6632392,-0.98948323,0.80357394,KMT5B,lysine methyltransferase 5B
1653,37652_at,0.0382,0.00116,-3.6632278,-0.98951046,-0.56030827,CABIN1,calcineurin binding protein 1
1657,211956_s_at,0.0383,0.00116,3.6610148000000002,-0.99478748,0.42153565,EIF1,eukaryotic translation initiation factor 1
1655,228847_at,0.0383,0.00116,3.6617629999999997,-0.9930035,0.69857881,EXOC3,exocyst complex component 3
1452,ILMN_2279961,0.0376,0.00116,-3.4305025000000002,-1.07538,-0.34,LAMP2,lysosomal associated membrane protein 2
1453,ILMN_3256478,0.0376,0.00116,-3.4304482000000003,-1.0755290000000002,-0.469,LOC100129034,uncharacterized LOC100129034
1455,ILMN_1768311,0.0376,0.00116,3.4300144,-1.076726,0.4,,
1660,218813_s_at,0.0383,0.00116,-3.6602214999999996,-0.99667885,-0.72583706,SH3GLB2,SH3 domain containing GRB2 like endophilin B2
1659,225444_at,0.0383,0.00116,3.6604148999999997,-0.99621776,0.53073948,UBN2,ubinuclein 2
1658,218525_s_at,0.0383,0.00116,-3.6605932,-0.99579282,-1.14317652,HIF1AN,hypoxia inducible factor 1 alpha subunit inhibitor
1654,234249_at,0.0383,0.00116,3.6621633,-0.99204898,1.51793078,,
1656,208747_s_at,0.0383,0.00116,3.6614214,-0.9938181,1.28347787,C1S,"complement component 1, s subcomponent"
1459,ILMN_1665515,0.0378,0.00117,-3.4277718,-1.082913,-0.405,,
1460,ILMN_1761138,0.0378,0.00117,3.4274767,-1.083727,0.39299999999999996,C9orf142,chromosome 9 open reading frame 142
1461,ILMN_1658407,0.0379,0.00117,-3.4266495000000003,-1.086008,-0.33799999999999997,SLC43A3,solute carrier family 43 member 3
1462,ILMN_1699599,0.0379,0.00117,3.426228,-1.08717,0.382,FCRL3,Fc receptor like 3
1463,ILMN_2311089,0.0379,0.00117,-3.4261447,-1.0874,-0.318,BRCA1,"BRCA1, DNA repair associated"
1666,201637_s_at,0.0384,0.00117,3.6583362999999998,-1.00117343,0.37180313,FXR1,FMR1 autosomal homolog 1
1661,210829_s_at,0.0383,0.00117,3.6597725,-0.99774939,0.610104,SSBP2,single stranded DNA binding protein 2
1662,231980_at,0.0383,0.00117,3.6596083,-0.99814083,1.64448874,DOK6,docking protein 6
1663,236082_at,0.0383,0.00117,3.6596010999999997,-0.99815813,1.17987772,PHLDB3,pleckstrin homology like domain family B member 3
1664,218677_at,0.0384,0.00117,-3.6589937000000003,-0.99960607,-1.2840147,S100A14,S100 calcium binding protein A14
1665,1562631_at,0.0384,0.00117,-3.6586741999999997,-1.00036779,-1.44752563,TEX26-AS1,TEX26 antisense RNA 1
1667,239441_at,0.0384,0.00117,3.6581789,-1.00154852,1.85322815,ZNF780A,zinc finger protein 780A
1668,223662_x_at,0.0384,0.00117,3.657593,-1.00294526,0.59983027,DDX59,DEAD-box helicase 59
1669,201357_s_at,0.0384,0.00117,-3.6573074999999995,-1.00362571,-0.49543106,SF3A1,splicing factor 3a subunit 1
1670,232623_at,0.0384,0.00117,3.6567344,-1.00499184,2.66961011,LOC100128751,INM04
1671,236930_at,0.0384,0.00117,3.6566892999999996,-1.00509919,0.9803096,LOC101930388///LOC101928143///NUMB,"uncharacterized LOC101930388///uncharacterized LOC101928143///NUMB, endocytic adaptor protein"
1680,214136_at,0.0385,0.00118,3.6535601000000004,-1.01255715,0.64228935,NUDT13,nudix hydrolase 13
1464,ILMN_2285996,0.038,0.00118,-3.4249247000000005,-1.090763,-0.649,KIAA0101,KIAA0101
1467,ILMN_2057399,0.0381,0.00118,-3.4229152000000003,-1.096301,-0.273,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand
1466,ILMN_1655952,0.0381,0.00118,3.423047,-1.0959379999999999,0.332,WASH1,WAS protein family homolog 1
1679,237943_at,0.0385,0.00118,3.6539321000000005,-1.01167065,0.72449313,TMCC1,transmembrane and coiled-coil domain family 1
1465,ILMN_1742813,0.0381,0.00118,-3.423447,-1.0948360000000001,-0.35,TMEM167A,transmembrane protein 167A
1678,214171_s_at,0.0385,0.00118,3.6543806000000005,-1.01060168,1.6087453,U2AF2,U2 small nuclear RNA auxiliary factor 2
1681,1556105_at,0.0385,0.00118,3.6535368999999998,-1.01261228,1.05429019,,
1676,1563524_a_at,0.0384,0.00118,3.6551709000000003,-1.00871841,2.21636127,ITPK1-AS1,ITPK1 antisense RNA 1
1675,1562403_a_at,0.0384,0.00118,3.6552184000000003,-1.00860501,2.1359638,SLC8A3,solute carrier family 8 member A3
1677,1555206_at,0.0385,0.00118,3.6548302,-1.00953019,0.63623329,LOC100287210,uncharacterized LOC100287210
1672,224814_at,0.0384,0.00118,-3.6564877,-1.00557982,-0.43043374,DPP7,dipeptidyl peptidase 7
1673,207702_s_at,0.0384,0.00118,3.656194,-1.00627988,0.78953237,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
1674,205539_at,0.0384,0.00118,3.6552277,-1.00858295,0.84181269,AVIL,advillin
1469,ILMN_1803376,0.0384,0.00119,3.4204562000000007,-1.103076,0.248,AEBP2,AE binding protein 2
1682,220659_s_at,0.0385,0.00119,-3.6527741999999996,-1.01442978,-0.56145324,C7orf43,chromosome 7 open reading frame 43
1683,207783_x_at,0.0385,0.00119,3.6527230000000004,-1.01455187,0.45326152,HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"
1684,212851_at,0.0385,0.00119,3.6521977,-1.0158035,0.97134953,DCUN1D4,defective in cullin neddylation 1 domain containing 4
1685,204048_s_at,0.0385,0.00119,-3.6520572999999996,-1.01613793,-0.63469159,PHACTR2,phosphatase and actin regulator 2
1686,218247_s_at,0.0386,0.00119,-3.6509671000000004,-1.01873567,-1.05386589,MEX3C,mex-3 RNA binding family member C
1687,235103_at,0.0386,0.00119,3.6508559000000003,-1.01900044,0.46167963,MAN2A1,mannosidase alpha class 2A member 1
1468,ILMN_1752213,0.0383,0.00119,-3.4214252999999997,-1.100407,-0.293,TMEM60,transmembrane protein 60
1698,231834_at,0.0387,0.0012,3.6470814,-1.02799205,0.83806962,RBM33,RNA binding motif protein 33
1695,221649_s_at,0.0386,0.0012,3.6487344,-1.02405454,0.77308805,PPAN-P2RY11///PPAN,PPAN-P2RY11 readthrough///peter pan homolog (Drosophila)
1690,234323_at,0.0386,0.0012,3.6494942000000004,-1.02224468,1.7259574,THSD4,thrombospondin type 1 domain containing 4
1693,238715_at,0.0386,0.0012,3.6492672999999995,-1.0227852,0.76693086,LOC646014,uncharacterized LOC646014
1692,225097_at,0.0386,0.0012,3.6492818999999996,-1.02275034,0.53368593,HIPK2,homeodomain interacting protein kinase 2
1691,215959_at,0.0386,0.0012,3.6493867,-1.02250067,1.8495549999999998,,
1689,230634_x_at,0.0386,0.0012,-3.6497431000000002,-1.02165152,-0.54596504,ADAT3///SCAMP4,"adenosine deaminase, tRNA specific 3///secretory carrier membrane protein 4"
1688,1552329_at,0.0386,0.0012,-3.6497962999999998,-1.02152481,-0.6303886,RBBP6,"RB binding protein 6, ubiquitin ligase"
1694,240666_at,0.0386,0.0012,3.6489382000000004,-1.02356919,1.7141039,,
1696,224701_at,0.0387,0.0012,-3.6476966,-1.02652658,-1.03203121,PARP14,poly(ADP-ribose) polymerase family member 14
1697,217502_at,0.0387,0.0012,-3.6473127,-1.02744101,-1.58105298,IFIT2,interferon induced protein with tetratricopeptide repeats 2
1699,211312_s_at,0.0388,0.00121,3.6459981,-1.03057209,1.05579974,WISP1,WNT1 inducible signaling pathway protein 1
1474,ILMN_1700660,0.0389,0.00121,-3.4144026,-1.11974,-0.327,RNF135,ring finger protein 135
1473,ILMN_2083833,0.0389,0.00121,3.4153830999999997,-1.117042,0.28800000000000003,CNOT6L,CCR4-NOT transcription complex subunit 6 like
1472,ILMN_1708328,0.0388,0.00121,3.4161147000000005,-1.115029,0.33799999999999997,RAB11FIP3,RAB11 family interacting protein 3
1471,ILMN_1682864,0.0388,0.00121,3.4163687000000005,-1.1143299999999998,0.318,SPSB3,splA/ryanodine receptor domain and SOCS box containing 3
1700,231819_at,0.0389,0.00121,3.6450937999999993,-1.0327256,0.8125025,CEBPZOS,CEBPZ opposite strand
1470,ILMN_3278995,0.0388,0.00121,3.4167489,-1.113283,0.27,,
1701,232376_at,0.039,0.00121,3.6436777,-1.03609786,0.90641852,PCCA,propionyl-CoA carboxylase alpha subunit
1702,1565829_at,0.0391,0.00122,3.6421226000000004,-1.03980069,0.70342872,CEP295,centrosomal protein 295
1475,ILMN_2153787,0.039,0.00122,3.4134787,-1.122282,0.325,ARRDC5,arrestin domain containing 5
1476,ILMN_1703459,0.0391,0.00122,-3.4128857000000004,-1.123913,-0.278,WNT9B,Wnt family member 9B
1477,ILMN_1761281,0.0391,0.00122,-3.412547,-1.124844,-0.5,,
1478,ILMN_1659047,0.0391,0.00122,-3.4119998999999996,-1.126349,-0.607,HIST2H2AA3,"histone cluster 2, H2aa3"
1479,ILMN_2158665,0.0392,0.00122,-3.4113675000000003,-1.128088,-0.276,MIA2,melanoma inhibitory activity 2
1707,240194_at,0.0394,0.00123,3.6373711,-1.05111127,1.17472832,LOC441204,uncharacterized LOC441204
1708,226049_at,0.0394,0.00123,3.6372044000000003,-1.05150798,0.40278798,ERC1,ELKS/RAB6-interacting/CAST family member 1
1709,236951_at,0.0394,0.00123,3.6371156000000004,-1.05171943,0.83091709,NSFL1C,NSFL1 cofactor
1710,240057_at,0.0394,0.00123,3.6370322999999996,-1.0519176000000001,2.9999998,,
1705,225433_at,0.0394,0.00123,3.6383741,-1.04872407,0.65384099,GTF2A1,general transcription factor IIA subunit 1
1704,217943_s_at,0.0394,0.00123,-3.6390116999999997,-1.04720653,-0.40357416,MAP7D1,MAP7 domain containing 1
1703,226761_at,0.0394,0.00123,-3.6392229,-1.04670372,-0.6689049,IKZF4,IKAROS family zinc finger 4
1706,240556_at,0.0394,0.00123,3.6377143,-1.05029449,1.55263716,DCN,decorin
1481,ILMN_3229770,0.0394,0.00123,3.4091652000000003,-1.1341430000000001,0.23399999999999999,SKP1,S-phase kinase-associated protein 1
1480,ILMN_3286751,0.0393,0.00123,-3.4098241000000002,-1.132331,-0.605,LOC284648,uncharacterized LOC284648
1482,ILMN_1695246,0.0394,0.00123,-3.4091101999999998,-1.1342940000000001,-0.62,KLHDC8B,kelch domain containing 8B
1483,ILMN_1653437,0.0394,0.00124,3.4083362,-1.136421,0.313,,
136,220638_s_at,0.19844479999999998,0.00124,3.369534,-0.9839399999999999,0.50644538,CBLC,Cbl proto-oncogene C
137,205335_s_at,0.19844479999999998,0.00124,-3.3687101999999998,-0.9861200000000001,-0.31960975,SRP19,signal recognition particle 19
138,221816_s_at,0.19844479999999998,0.00124,-3.3683066,-0.98718,-0.40981999,PHF11,PHD finger protein 11
1711,1568865_at,0.0394,0.00124,3.6369373999999994,-1.05214353,0.97496165,FNTB,"farnesyltransferase, CAAX box, beta"
1713,232645_at,0.0394,0.00124,3.6366417,-1.0528473,0.63421286,LOC153684,uncharacterized LOC153684
1721,232031_s_at,0.0395,0.00124,3.6339233999999996,-1.05931568,0.71191871,EPG5,ectopic P-granules autophagy protein 5 homolog
1720,242873_at,0.0395,0.00124,-3.6339913,-1.05915412,-1.23556412,LOC101928100,uncharacterized LOC101928100
1712,201933_at,0.0394,0.00124,-3.6366921999999997,-1.05272706,-0.46108031,CHMP1A,charged multivesicular body protein 1A
1718,221015_s_at,0.0395,0.00124,3.6343106,-1.05839435,0.59144994,CDADC1,cytidine and dCMP deaminase domain containing 1
1717,238413_at,0.0395,0.00124,3.6346582,-1.05756746,1.47595937,RRN3P3,"RRN3 homolog, RNA polymerase I transcription factor pseudogene 3"
1716,242706_s_at,0.0394,0.00124,3.6357754,-1.05490878,0.82004507,MED23,mediator complex subunit 23
1715,241827_at,0.0394,0.00124,3.6359394,-1.05451847,0.68077565,ZNF615,zinc finger protein 615
1714,220200_s_at,0.0394,0.00124,-3.6364262000000003,-1.05336012,-0.55672632,KMT5A,lysine methyltransferase 5A
1484,ILMN_1720048,0.0394,0.00124,-3.4083102,-1.136492,-1.1,CCL2,C-C motif chemokine ligand 2
1485,ILMN_1811258,0.0394,0.00124,-3.4076682000000003,-1.138256,-0.32899999999999996,RELB,"RELB proto-oncogene, NF-kB subunit"
1486,ILMN_1771862,0.0396,0.00124,-3.4064433,-1.141622,-0.34299999999999997,TXNDC11,thioredoxin domain containing 11
1719,212571_at,0.0395,0.00124,-3.6340577000000005,-1.05899622,-0.47599425,CHD8,chromodomain helicase DNA binding protein 8
139,221387_at,0.19844479999999998,0.00125,3.3669531999999998,-0.9907600000000001,0.60264456,NPFFR1,neuropeptide FF receptor 1
1726,203076_s_at,0.0396,0.00125,3.6320589999999995,-1.06375159,0.42768697,SMAD2,SMAD family member 2
1727,235433_at,0.0396,0.00125,-3.6318466,-1.0642568000000001,-0.48234917,APOOL,apolipoprotein O like
1725,218385_at,0.0396,0.00125,-3.6321782999999996,-1.06346771,-0.45746425,MRPS18A,mitochondrial ribosomal protein S18A
1724,231629_x_at,0.0396,0.00125,3.6326538,-1.06233634,1.03343458,KLK3,kallikrein related peptidase 3
1722,234108_at,0.0395,0.00125,3.6335401,-1.06022784,1.73169607,TAS2R45,taste 2 receptor member 45
1728,208609_s_at,0.0397,0.00125,3.6308912,-1.06652961,1.11340273,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
1723,222063_s_at,0.0395,0.00125,3.6333634,-1.06064812,0.9829306000000001,CDS1,CDP-diacylglycerol synthase 1
1490,ILMN_1693669,0.0398,0.00125,3.4037175000000004,-1.149108,0.389,WRAP53,WD repeat containing antisense to TP53
1491,ILMN_2401978,0.0398,0.00125,-3.4036144,-1.149391,-0.47100000000000003,STAT3,signal transducer and activator of transcription 3
1489,ILMN_1807994,0.0398,0.00125,3.4040315000000003,-1.1482459999999999,0.272,PCNP,PEST proteolytic signal containing nuclear protein
1488,ILMN_1800837,0.0397,0.00125,3.4052184999999997,-1.144986,0.284,CFDP1,craniofacial development protein 1
1487,ILMN_2073235,0.0396,0.00125,-3.4055922999999995,-1.143959,-0.39,,
1732,244580_at,0.0398,0.00126,3.628713,-1.07171062,1.72085777,,
1494,ILMN_3235176,0.0398,0.00126,3.4023865,-1.152762,0.637,TRABD2A,TraB domain containing 2A
140,212048_s_at,0.19844479999999998,0.00126,-3.3652797,-0.99518,-0.38345717,YARS,tyrosyl-tRNA synthetase
1729,48659_at,0.0397,0.00126,-3.6304958,-1.06747023,-0.81292327,MIIP,migration and invasion inhibitory protein
1730,227668_at,0.0397,0.00126,3.6304703000000003,-1.06753072,0.38585947,TEPSIN,"TEPSIN, adaptor related protein complex 4 accessory protein"
1731,234107_s_at,0.0398,0.00126,3.629307,-1.07029795,0.50664421,DTD1,D-tyrosyl-tRNA deacylase 1
1733,202531_at,0.0398,0.00126,-3.6284313999999998,-1.07238035,-0.92473691,IRF1,interferon regulatory factor 1
1734,240094_at,0.0398,0.00126,3.6280598,-1.07326422,0.96754817,,
1495,ILMN_2130441,0.0399,0.00126,-3.4020118999999998,-1.153791,-0.278,HLA-H,"major histocompatibility complex, class I, H (pseudogene)"
1496,ILMN_2307450,0.0399,0.00126,3.4011177000000004,-1.156245,0.436,ZNF302,zinc finger protein 302
1497,ILMN_2376108,0.0399,0.00126,-3.4009663999999997,-1.15666,-0.40700000000000003,PSMB9,proteasome subunit beta 9
1492,ILMN_2190414,0.0398,0.00126,3.4026977,-1.151908,0.42100000000000004,ZNF83,zinc finger protein 83
1493,ILMN_2278636,0.0398,0.00126,-3.4024370999999998,-1.152623,-0.45399999999999996,CUX1,cut like homeobox 1
1735,1568513_x_at,0.0399,0.0012699999999999999,3.6272858,-1.07510489,0.80054599,,
1736,1555544_a_at,0.04,0.0012699999999999999,3.6262004,-1.0776861,1.98708462,CADM2,cell adhesion molecule 2
1737,242803_at,0.04,0.0012699999999999999,3.6254769000000002,-1.0794063999999999,0.8519565999999998,,
1738,203342_at,0.04,0.0012699999999999999,-3.6249519999999995,-1.08065442,-0.7873423,TIMM17B,translocase of inner mitochondrial membrane 17 homolog B (yeast)
1498,ILMN_1740160,0.0402,0.0012699999999999999,3.39817,-1.164333,0.424,PLCG1,phospholipase C gamma 1
1502,ILMN_1794190,0.0403,0.00128,-3.3962574,-1.169578,-0.456,CCPG1,cell cycle progression 1
1501,ILMN_1684306,0.0403,0.00128,-3.3968592000000006,-1.167927,-0.263,S100A4,S100 calcium binding protein A4
1504,ILMN_2151368,0.0403,0.00128,3.3962044999999996,-1.1697229999999998,0.37200000000000005,NOL12,nucleolar protein 12
1739,1554549_a_at,0.0401,0.00128,-3.6244101000000004,-1.0819428999999998,-0.67724731,WDR20,WD repeat domain 20
1740,218862_at,0.0401,0.00128,3.6241656000000004,-1.08252413,0.74452911,ASB13,ankyrin repeat and SOCS box containing 13
1741,229200_at,0.0401,0.00128,-3.623668,-1.08370737,-1.36187091,,
1742,1553032_at,0.0402,0.00128,3.6224818,-1.08652727,1.67462155,IL31RA,interleukin 31 receptor A
1743,1553663_a_at,0.0402,0.00128,3.6223788999999997,-1.08677186,0.6785797,NPB,neuropeptide B
1744,205277_at,0.0402,0.00128,3.6215676,-1.08870045,0.53906599,PRDM2,PR/SET domain 2
1503,ILMN_1738099,0.0403,0.00128,3.3962534,-1.1695879999999998,0.313,CAMKMT,calmodulin-lysine N-methyltransferase
141,201923_at,0.2003963,0.00128,-3.3598265,-1.00958,-0.54644817,PRDX4,peroxiredoxin 4
1505,ILMN_1798270,0.0403,0.00128,-3.3959582999999998,-1.170398,-0.418,SMCO4,single-pass membrane protein with coiled-coil domains 4
1500,ILMN_1751195,0.0403,0.00128,3.3969266000000005,-1.167743,0.365,,
1499,ILMN_1892403,0.0403,0.00128,3.3971699,-1.167075,0.557,SNORD13,"small nucleolar RNA, C/D box 13"
1749,1553217_s_at,0.0403,0.0012900000000000001,3.6193023999999996,-1.09408451,0.56675568,ZNF41,zinc finger protein 41
1747,228851_s_at,0.0402,0.0012900000000000001,-3.6211175000000004,-1.08977041,-0.44883063,ENSA,endosulfine alpha
1748,243167_at,0.0403,0.0012900000000000001,3.6193632000000004,-1.09394001,1.21209964,ABCB5,ATP binding cassette subfamily B member 5
1750,243922_at,0.0403,0.0012900000000000001,3.6191767999999995,-1.09438283,1.23237793,,
1751,201945_at,0.0403,0.0012900000000000001,-3.6191252,-1.09450563,-1.15083615,FURIN,"furin, paired basic amino acid cleaving enzyme"
1512,ILMN_1695983,0.0404,0.0012900000000000001,3.3934792000000003,-1.177193,0.251,DDX42,DEAD-box helicase 42
1752,220355_s_at,0.0404,0.0012900000000000001,3.6185557999999998,-1.09585885,0.37354692,PBRM1,polybromo 1
1511,ILMN_2358919,0.0404,0.0012900000000000001,-3.3936906000000002,-1.176614,-0.307,TP53I3,tumor protein p53 inducible protein 3
1510,ILMN_3241169,0.0404,0.0012900000000000001,3.3943377999999997,-1.1748399999999999,0.3,ELP6,elongator acetyltransferase complex subunit 6
1746,234563_at,0.0402,0.0012900000000000001,-3.6211718999999998,-1.08964097,-1.76146735,,
1509,ILMN_2406656,0.0404,0.0012900000000000001,3.3946321000000004,-1.1740329999999999,0.364,GATA3,GATA binding protein 3
1745,209255_at,0.0402,0.0012900000000000001,3.6212809999999998,-1.08938176,0.62401315,KLHDC10,kelch domain containing 10
1506,ILMN_1682098,0.0404,0.0012900000000000001,-3.3952187999999994,-1.172425,-0.33,PSMA4,proteasome subunit alpha 4
1508,ILMN_1781952,0.0404,0.0012900000000000001,-3.3947269,-1.173773,-0.42100000000000004,MGST1,microsomal glutathione S-transferase 1
1507,ILMN_1787897,0.0404,0.0012900000000000001,-3.3948343999999997,-1.1734790000000002,-0.49700000000000005,CXCL1,C-X-C motif chemokine ligand 1
